club,last_name,first_name,position,base_salary,guaranteed_compensation
LA Galaxy,Adzemian,Vardan,D,12900.0,12900.0
LA Galaxy,Alamo,Charles,GK,12900.0,12900.0
New England Revolution,Albright,Chris,D,160000.0,160000.0
Houston Dynamo,Alcaraz,Johnny,M,12900.0,12900.0
LA Galaxy,Allen,Ely,F,12900.0,12900.0
San Jose Earthquakes,Alvarez,Arturo,M,166250.0,175587.5
New York Red Bulls,Angel,Juan Pablo,F,1500000.0,1593750.0
Pool,Angulo,Jose,F,12900.0,12900.0
San Jose Earthquakes,Arce,Miguel,F,12900.0,12900.0
Sporting Kansas City,Arnaud,Davy,M,105000.0,106875.0
Houston Dynamo,Ashe,Corey,M,33000.0,33000.0
Toronto FC,Attakora-Gyan,Nana,D,12900.0,12900.0
FC Dallas,Avila,Eric,M,45000.0,78000.0
San Jose Earthquakes,Ayres,Jay,D,17700.0,17700.0
New England Revolution,Badilla,Gabriel,D,138000.0,138000.0
Colorado Rapids,Ballouchy,Mehdi,M,75000.0,93000.0
Chicago Fire,Banner,Michael,D,12900.0,12900.0
LA Galaxy,Barlow,Jeremy,D,12900.0,12900.0
Toronto FC,Barrett,Chad,F,53773.13,61273.13
Houston Dynamo,Barrett,Wade,D,148838.0,148838.0
Real Salt Lake,Beckerman,Kyle,M,143000.0,145500.0
LA Galaxy,Beckham,David,M,5500000.08,6500000.04
Real Salt Lake,Beltran,Anthony,D,55000.0,90500.0
Real Salt Lake,Besagno,Nikolas,D,100000.0,136500.0
Chicago Fire,Blanco,Cuauhtemoc,M,2492316.0,2666778.0
LA Galaxy,Bolkan,Scott,M,12900.0,12900.0
Real Salt Lake,Borchers,Nat,D,120000.0,127500.0
New York Red Bulls,Borman,Danleigh,M,17700.0,17700.0
CHV,Bornstein,Jonathan,D,77500.0,77500.0
New York Red Bulls,Boss,Terry,GK,33000.0,35500.0
Houston Dynamo,Boswell,Robert,D,33000.0,33000.0
LA Galaxy,Bowen,Tristan,F,45000.0,76363.63
New York Red Bulls,Boyens,Andrew,D,41250.0,43750.0
CHV,Braun,Justin,F,12900.0,12900.0
Toronto FC,Brennan,Jim,D,175000.0,183250.0
New England Revolution,Brill,Sam,D,12900.0,12900.0
Chicago Fire,Brown,C.J.,D,111711.0,111711.0
Houston Dynamo,Brown,Kyle,F,33000.0,33000.0
LA Galaxy,Buddle,Edson,F,147000.0,157000.0
DC United,Burch,Marc,D,33000.0,33000.0
Colorado Rapids,Burciaga,Jose,D,80000.0,82500.0
CHV,Burling,Bobby,D,17700.0,17700.0
Columbus Crew,Burns,Kevin,M,12900.0,12900.0
Colorado Rapids,Burpo,Preston,GK,55116.18,55116.18
FC Dallas,Burse,Ray,GK,33000.0,33000.0
Chicago Fire,Busch,Jon,GK,80000.0,81250.0
Houston Dynamo,Caig,Tony,GK,52596.0,52596.0
Houston Dynamo,Cameron,Geoff,M,33000.0,33000.0
San Jose Earthquakes,Cannon,Joe,GK,213000.0,213000.0
Chicago Fire,Carr,Calen,F,50600.0,63100.0
DC United,Carreiro da Silva,Fred,M,210000.0,242000.0
Columbus Crew,Carroll,Brian,M,122500.0,126250.0
DC United,Carroll,Jeff,D,12900.0,12900.0
DC United,Carroll,Pat,D,12900.0,12900.0
Colorado Rapids,Casey,Conor,F,190008.0,190008.0
New England Revolution,Castro,Mauricio,M,90000.0,96250.0
New York Red Bulls,Cepero,Daniel,GK,12900.0,12900.0
Houston Dynamo,Chabala,Michael,M,17700.0,17700.0
CHV,Chiles,Kraig,M,12900.0,12900.0
Houston Dynamo,Ching,Brian,F,231000.0,231000.0
New York Red Bulls,Cichero,Gabriel,D,156000.0,157500.0
Colorado Rapids,Clark,Colin,M,33000.0,33000.0
Houston Dynamo,Clark,Ricardo,M,225500.0,225500.0
San Jose Earthquakes,Cochrane,Ryan,D,132000.0,133250.0
Colorado Rapids,Colaluca,Nico,M,70000.0,103000.0
Chicago Fire,Conde,Wilman,D,156000.0,163500.0
Sporting Kansas City,Conrad,Jimmy,D,213750.0,225000.0
New York Red Bulls,Conway,Jon,GK,115000.0,115000.0
Colorado Rapids,Cooke,Terry,M,167500.0,172500.0
FC Dallas,Cooper,Kenny,F,80000.0,83000.0
DC United,Cordeiro,Ryan,M,17700.0,17700.0
San Jose Earthquakes,Corrales,Ramiro,M,190000.0,202500.0
Colorado Rapids,Coundoul,Bouna,GK,33000.0,33000.0
DC United,Crayton,Louis,GK,168000.0,175857.14
New England Revolution,Cristman,Adam,F,33000.0,33000.0
LA Galaxy,Cronin,Steve,GK,75000.0,75000.0
Colorado Rapids,Cummings,Omar,F,33000.0,33000.0
San Jose Earthquakes,Cunliffe,John,F,35500.0,50500.0
FC Dallas,Cunningham,Jeffrey,F,245000.0,257500.0
CHV,Curtin,Jim,D,104004.0,104004.0
Real Salt Lake,Cutler,Kenny,M,36000.0,36000.0
Colorado Rapids,Dalby,Greg,M,33000.0,33000.0
FC Dallas,Daniels,Andrew,D,33000.0,33000.0
FC Dallas,Davino,Dulio,D,400000.0,400000.0
Houston Dynamo,Davis,Brad,M,126000.0,126000.0
FC Dallas,Dello-Russo,Michael,D,33000.0,33000.0
San Jose Earthquakes,Denton,Eric,D,55200.0,55200.0
Houston Dynamo,DeRosario,Dwayne,M,324999.96,324999.96
Real Salt Lake,Deuchar,Kenny,F,135000.0,145000.0
Toronto FC,Dichio,Daniel,F,157500.0,165625.0
Colorado Rapids,DiRaimondo,John,M,17700.0,17700.0
DC United,Doe,Francis,F,33000.0,40500.0
LA Galaxy,Dominguez,Eduardo,D,192000.0,192000.0
LA Galaxy,Donovan,Landon,F,900000.0,900000.0
New England Revolution,Dube,Mkhokheli,F,17700.0,17700.0
Toronto FC,Dunivant,Todd,D,104737.5,104737.5
DC United,Dyachenko,Rod,M,33000.0,33000.0
CHV,Ebert,Eric,D,12900.0,12900.0
New York Red Bulls,Echeverry,Oscar,F,80000.0,80000.0
Toronto FC,Edwards,Brian,GK,36000.0,44750.0
Columbus Crew,Ekpo,Emmanuel,M,101500.0,123750.0
Columbus Crew,Elenio,Cory,M,12900.0,12900.0
Toronto FC,Elkinson,Kilian,M,12900.0,12900.0
DC United,Emilio,Luciano,F,720000.0,758857.14
Colorado Rapids,Erpen,Facundo,D,125000.0,125000.0
CHV,Eskandarian,Alecko,F,123500.0,131041.25
Real Salt Lake,Espindola,Fabian,F,75000.0,75000.0
Sporting Kansas City,Espinoza,Roger,M,45000.0,78750.0
Columbus Crew,Evans,Brad,M,33000.0,33000.0
CHV,Ferreira,Dejair,M,96000.0,185230.77
Real Salt Lake,Findley,Robert,F,47100.0,59600.0
New England Revolution,Flood,Gary,M,17700.0,17700.0
CHV,Flores,Jorge,F,17700.0,17700.0
LA Galaxy,Franchino,Joey,M,50000.0,50000.0
LA Galaxy,Franklin,Sean,D,36000.0,48500.0
Chicago Fire,Frankowski,Tomasz,F,198000.0,214250.0
Toronto FC,Freeman,Hunter,D,61160.0,71160.0
Toronto FC,Gala,Gabe,D,12900.0,12900.0
CHV,Galindo,Maykel,F,79750.0,79750.0
DC United,Gallardo,Marcelo,M,1500000.0,1874006.0
San Jose Earthquakes,Garcia,Nick,D,137812.0,142812.0
Columbus Crew,Garey,Jason,F,48125.0,60625.0
Toronto FC,Gaudet,Derek,F,12900.0,12900.0
Columbus Crew,Gaven,Eddie,M,165000.0,165000.0
LA Galaxy,Gavin,Michael,D,17700.0,17700.0
New England Revolution,Germanese,Joe,M,12900.0,12900.0
San Jose Earthquakes,Ghebru,Michael,F,12900.0,12900.0
Colorado Rapids,Gibbs,Cory,D,96000.0,103142.86
New York Red Bulls,Gilkerson,John,D,12900.0,12900.0
San Jose Earthquakes,Glinton,Gavin,F,60000.0,60000.0
New York Red Bulls,Goldthwaite,Kevin,D,68750.0,77750.0
Colorado Rapids,Gomez,Christian,M,385000.0,430000.0
Sporting Kansas City,Gomez,Hercules,F,51817.5,51817.5
LA Galaxy,Gordon,Alan,F,72504.0,72504.0
San Jose Earthquakes,Grabavoy,Ned,M,90000.0,90000.0
Pool,Graczyk,Mike,GK,17700.0,17700.0
San Jose Earthquakes,Gray,Kelly,M,38247.0,40579.13
Colorado Rapids,Grazier,Brian,M,12900.0,12900.0
Columbus Crew,Gruenebaum,Andy,GK,33000.0,33000.0
FC Dallas,Guarda,Bruno,M,45000.0,65500.0
DC United,Guerrero,Ivan,M,140000.0,147000.0
Toronto FC,Guevara,Amado,M,162000.0,185750.0
San Jose Earthquakes,Gustavson,Michael,GK,12900.0,12900.0
Chicago Fire,Gutierrez,Diego,D,105000.0,107500.0
CHV,Guzan,Brad,GK,88974.38,103974.38
CHV,Hamilton,Anthony,F,17700.0,17700.0
Toronto FC,Harmse,Kevin,M,72000.0,72000.0
Sporting Kansas City,Harrington,Michael,D,49600.0,67100.0
CHV,Harris,Atiba,F,57000.0,60000.0
Sporting Kansas City,Hartman,Kevin,GK,150000.0,150000.0
Colorado Rapids,Harvey,Jordan,D,33000.0,33000.0
San Jose Earthquakes,Hatzke,Matt,M,12900.0,12900.0
Houston Dynamo,Hatzke,Nick,M,12900.0,12900.0
Houston Dynamo,Hayden,John-Michael,M,17700.0,17700.0
New England Revolution,Heaps,Jay,D,110000.0,116000.0
Columbus Crew,Hejduk,Frankie,D,150000.0,175000.0
Columbus Crew,Hendrickson,Ezra,D,72000.0,72000.0
San Jose Earthquakes,Hernandez,Jason,D,47250.0,47875.0
Chicago Fire,Herron,Andy,F,90000.0,102500.0
